applicant_name,role,city_type,previous_ctc,previous_job_switches,graduation_marks,previous_exp,expected_ctc,Unnamed: 8
Applicant 563,Executive,Metro,"  53,585.00 ",4.0,83.0,27.0,"  66,902.35 ",
Applicant 564,Executive,Metro,"  69,993.00 ",2.0,66.0,50.0,"  77,519.72 ",
Applicant 565,Executive,Non-Metro,"  55,083.00 ",4.0,78.0,18.0,"  64,807.83 ",
Applicant 566,Executive,Non-Metro,"  54,624.00 ",3.0,40.0,19.0,"  64,539.46 ",
Applicant 567,Executive,Non-Metro,"  69,272.00 ",1.0,52.0,38.0,"  74,082.97 ",
Applicant 568,Executive,Metro,"  54,790.00 ",3.0,37.0,41.0,"  74,176.38 ",
Applicant 569,Executive,Non-Metro,"  55,440.00 ",1.0,48.0,49.0,"  64,550.69 ",
Applicant 570,Manager,Metro,"  64,558.00 ",3.0,47.0,48.0,"  99,734.64 ",
Applicant 571,Executive,Non-Metro,"  50,385.00 ",4.0,67.0,31.0,"  70,422.32 ",
Applicant 572,Executive,Non-Metro,"  61,828.00 ",3.0,42.0,18.0,"  68,584.06 ",
Applicant 573,Executive,Non-Metro,"  71,543.00 ",4.0,82.0,30.0,"  61,366.78 ",
Applicant 574,Executive,Non-Metro,"  60,757.00 ",3.0,48.0,62.0,"  85,245.01 ",
Applicant 575,Executive,Non-Metro,"  64,225.00 ",4.0,43.0,57.0,"  80,470.64 ",
Applicant 576,Executive,Non-Metro,"  55,470.00 ",3.0,36.0,58.0,"  68,557.78 ",
Applicant 577,Executive,Metro,"  47,049.00 ",4.0,65.0,22.0,"  57,010.86 ",
Applicant 578,Manager,Non-Metro,"  59,101.00 ",3.0,56.0,31.0,"  113,843.16 ",
Applicant 579,Executive,Metro,"  55,453.00 ",3.0,67.0,52.0,"  71,105.71 ",
Applicant 580,Executive,Non-Metro,"  44,848.00 ",3.0,41.0,25.0,"  65,897.67 ",
Applicant 581,Executive,Metro,"  48,183.00 ",4.0,35.0,59.0,"  73,716.85 ",
Applicant 582,Executive,Metro,"  52,782.00 ",1.0,56.0,19.0,"  62,989.38 ",
Applicant 583,Executive,Metro,"  69,431.00 ",1.0,49.0,39.0,"  66,323.22 ",
Applicant 584,Executive,Non-Metro,"  51,589.00 ",4.0,41.0,32.0,"  78,048.35 ",
Applicant 585,Executive,Metro,"  48,860.00 ",4.0,67.0,19.0,"  65,236.18 ",
Applicant 586,Executive,Non-Metro,"  50,087.00 ",1.0,82.0,33.0,"  59,009.52 ",
Applicant 587,Executive,Metro,"  49,047.00 ",3.0,40.0,21.0,"  74,563.83 ",
Applicant 588,Manager,Non-Metro,"  56,231.00 ",1.0,74.0,34.0,"  92,698.56 ",
Applicant 589,Executive,Non-Metro,"  61,046.00 ",4.0,60.0,61.0,"  77,981.88 ",
Applicant 590,Executive,Non-Metro,"  57,851.00 ",1.0,79.0,38.0,"  61,211.79 ",
Applicant 591,Executive,Non-Metro,"  57,087.00 ",4.0,57.0,58.0,"  78,324.59 ",
Applicant 592,Executive,Metro,"  48,844.00 ",2.0,78.0,47.0,"  70,576.11 ",
Applicant 593,Executive,Metro,"  51,214.00 ",2.0,54.0,20.0,"  59,565.94 ",
Applicant 594,Manager,Non-Metro,"  49,750.00 ",4.0,70.0,21.0,"  65,081.36 ",
Applicant 595,Executive,Metro,"  68,145.00 ",3.0,84.0,41.0,"  64,093.96 ",
Applicant 596,Executive,Non-Metro,"  55,675.00 ",1.0,46.0,46.0,"  76,864.52 ",
Applicant 597,Executive,Non-Metro,"  53,388.00 ",2.0,61.0,42.0,"  70,286.85 ",
Applicant 598,Executive,Non-Metro,"  57,584.00 ",4.0,44.0,34.0,"  73,572.32 ",
Applicant 599,Executive,Metro,"  56,087.00 ",3.0,85.0,43.0,"  74,611.23 ",
Applicant 600,Executive,Non-Metro,"  65,165.00 ",1.0,79.0,52.0,"  100,742.29 ",
Applicant 601,Executive,Non-Metro,"  61,095.00 ",1.0,54.0,18.0,"  53,472.60 ",
Applicant 602,Executive,Metro,"  55,522.00 ",3.0,38.0,51.0,"  79,954.36 ",
Applicant 603,Executive,Non-Metro,"  54,823.00 ",2.0,64.0,56.0,"  78,933.39 ",
Applicant 604,Executive,Non-Metro,"  62,830.00 ",4.0,51.0,64.0,"  83,153.13 ",
Applicant 605,Manager,Non-Metro,"  54,550.00 ",1.0,53.0,19.0,"  73,581.57 ",
Applicant 606,Executive,Non-Metro,"  54,662.00 ",3.0,74.0,51.0,"  70,751.48 ",
Applicant 607,Executive,Non-Metro,"  49,239.00 ",4.0,45.0,27.0,"  63,459.16 ",
Applicant 608,Manager,Non-Metro,"  53,652.00 ",2.0,68.0,59.0,"  82,182.86 ",
Applicant 609,Executive,Metro,"  50,659.00 ",3.0,63.0,28.0,"  77,372.88 ",
Applicant 610,Manager,Metro,"  59,169.00 ",4.0,51.0,30.0,"  95,875.83 ",
Applicant 611,Executive,Non-Metro,"  56,043.00 ",1.0,44.0,47.0,"  62,426.39 ",
Applicant 612,Executive,Non-Metro,"  59,528.00 ",2.0,35.0,38.0,"  65,621.21 ",
Applicant 613,Executive,Non-Metro,"  54,324.00 ",2.0,74.0,18.0,"  65,404.57 ",
Applicant 614,Executive,Non-Metro,"  40,574.00 ",2.0,66.0,34.0,"  62,314.99 ",
Applicant 615,Executive,Non-Metro,"  60,511.00 ",4.0,56.0,20.0,"  55,486.61 ",
Applicant 616,Manager,Non-Metro,"  61,626.00 ",3.0,42.0,47.0,"  102,099.91 ",
Applicant 617,Executive,Non-Metro,"  56,704.00 ",4.0,73.0,56.0,"  77,326.30 ",
Applicant 618,Manager,Metro,"  55,507.00 ",3.0,68.0,49.0,"  81,770.13 ",
Applicant 619,Manager,Non-Metro,"  63,071.00 ",2.0,60.0,19.0,"  95,369.35 ",
Applicant 620,Executive,Non-Metro,"  60,356.00 ",4.0,51.0,55.0,"  77,809.72 ",
Applicant 621,Executive,Metro,"  55,650.00 ",4.0,75.0,30.0,"  62,505.95 ",
Applicant 622,Manager,Metro,"  55,291.00 ",3.0,56.0,37.0,"  102,592.89 ",
Applicant 623,Executive,Non-Metro,"  50,234.00 ",3.0,42.0,49.0,"  75,835.34 ",
Applicant 624,Manager,Metro,"  57,309.00 ",2.0,44.0,18.0,"  108,840.13 ",
Applicant 625,Executive,Metro,"  49,801.00 ",1.0,40.0,59.0,"  78,467.44 ",
Applicant 626,Executive,Non-Metro,"  53,160.00 ",1.0,46.0,29.0,"  62,498.78 ",
Applicant 627,Executive,Metro,"  51,698.00 ",1.0,67.0,36.0,"  82,885.09 ",
Applicant 628,Executive,Metro,"  69,671.00 ",3.0,36.0,33.0,"  67,675.99 ",
Applicant 629,Executive,Metro,"  62,309.00 ",4.0,61.0,58.0,"  87,098.07 ",
Applicant 630,Manager,Non-Metro,"  62,634.00 ",1.0,56.0,44.0,"  99,438.63 ",
Applicant 631,Executive,Metro,"  64,138.00 ",4.0,35.0,53.0,"  72,864.74 ",
Applicant 632,Executive,Metro,"  51,339.00 ",3.0,75.0,24.0,"  72,905.05 ",
Applicant 633,Executive,Non-Metro,"  56,337.00 ",3.0,78.0,29.0,"  69,201.42 ",
Applicant 634,Executive,Metro,"  47,655.00 ",2.0,80.0,40.0,"  76,955.42 ",
Applicant 635,Executive,Metro,"  63,372.00 ",3.0,43.0,51.0,"  82,767.25 ",
Applicant 636,Executive,Metro,"  63,512.00 ",3.0,43.0,64.0,"  85,418.25 ",
Applicant 637,Executive,Non-Metro,"  47,893.00 ",1.0,53.0,19.0,"  66,799.89 ",
Applicant 638,Executive,Non-Metro,"  63,895.00 ",1.0,80.0,35.0,"  83,672.86 ",
Applicant 639,Manager,Metro,"  52,623.00 ",1.0,47.0,39.0,"  80,856.11 ",
Applicant 640,Executive,Metro,"  58,616.00 ",4.0,38.0,56.0,"  70,153.22 ",
Applicant 641,Executive,Metro,"  65,363.00 ",3.0,79.0,33.0,"  73,418.48 ",
Applicant 642,Manager,Metro,"  53,149.00 ",1.0,71.0,42.0,"  84,130.43 ",
Applicant 643,Executive,Metro,"  56,350.00 ",4.0,37.0,61.0,"  83,817.75 ",
Applicant 644,Executive,Non-Metro,"  57,901.00 ",4.0,82.0,23.0,"  70,462.30 ",
Applicant 645,Executive,Metro,"  56,632.00 ",2.0,46.0,43.0,"  85,006.88 ",
Applicant 646,Executive,Metro,"  53,453.00 ",1.0,39.0,48.0,"  73,023.46 ",
Applicant 647,Executive,Metro,"  53,821.00 ",2.0,63.0,39.0,"  74,467.30 ",
Applicant 648,Executive,Non-Metro,"  45,986.00 ",4.0,55.0,40.0,"  73,401.83 ",
Applicant 649,Executive,Metro,"  54,357.00 ",3.0,54.0,18.0,"  77,579.31 ",
Applicant 650,Executive,Non-Metro,"  61,409.00 ",3.0,77.0,58.0,"  78,989.16 ",
Applicant 651,Executive,Non-Metro,"  66,330.00 ",4.0,44.0,49.0,"  68,736.41 ",
Applicant 652,Executive,Non-Metro,"  64,649.00 ",3.0,47.0,53.0,"  79,999.26 ",
Applicant 653,Executive,Non-Metro,"  52,136.00 ",4.0,77.0,48.0,"  63,749.73 ",
Applicant 654,Executive,Non-Metro,"  60,103.00 ",3.0,74.0,45.0,"  74,810.66 ",
Applicant 655,Executive,Non-Metro,"  62,521.00 ",1.0,70.0,59.0,"  77,733.27 ",
Applicant 656,Manager,Non-Metro,"  49,103.00 ",1.0,80.0,52.0,"  81,128.88 ",
Applicant 657,Executive,Non-Metro,"  71,328.00 ",1.0,65.0,26.0,"  77,695.83 ",
Applicant 658,Executive,Metro,"  58,953.00 ",4.0,46.0,27.0,"  64,535.00 ",
Applicant 659,Executive,Non-Metro,"  59,927.00 ",2.0,51.0,48.0,"  87,640.58 ",
Applicant 660,Executive,Non-Metro,"  49,840.00 ",3.0,37.0,57.0,"  69,511.75 ",
Applicant 661,Executive,Metro,"  67,431.00 ",3.0,46.0,37.0,"  66,775.80 ",
Applicant 662,Executive,Non-Metro,"  45,910.00 ",3.0,44.0,57.0,"  82,368.08 ",
Applicant 663,Executive,Non-Metro,"  51,683.00 ",3.0,55.0,32.0,"  62,070.15 ",
Applicant 664,Executive,Metro,"  54,298.00 ",4.0,44.0,18.0,"  69,619.85 ",
Applicant 665,Manager,Non-Metro,"  49,209.00 ",3.0,59.0,64.0,"  78,320.21 ",
Applicant 666,Manager,Metro,"  62,631.00 ",2.0,68.0,43.0,"  105,727.87 ",
Applicant 667,Executive,Metro,"  55,394.00 ",1.0,61.0,49.0,"  79,057.81 ",
Applicant 668,Manager,Non-Metro,"  57,876.00 ",2.0,39.0,40.0,"  99,227.71 ",
Applicant 669,Manager,Metro,"  60,476.00 ",1.0,85.0,62.0,"  113,212.07 ",
Applicant 670,Executive,Non-Metro,"  53,787.00 ",2.0,42.0,40.0,"  66,886.63 ",
Applicant 671,Executive,Metro,"  59,116.00 ",1.0,81.0,30.0,"  63,752.00 ",
Applicant 672,Executive,Non-Metro,"  53,671.00 ",2.0,65.0,29.0,"  68,221.29 ",
Applicant 673,Executive,Metro,"  55,289.00 ",2.0,75.0,36.0,"  60,479.67 ",
Applicant 674,Executive,Non-Metro,"  52,987.00 ",1.0,52.0,41.0,"  68,586.40 ",
Applicant 675,Manager,Non-Metro,"  71,473.00 ",4.0,84.0,44.0,"  92,655.28 ",
Applicant 676,Executive,Metro,"  45,893.00 ",3.0,70.0,45.0,"  66,715.60 ",
Applicant 677,Executive,Non-Metro,"  63,091.00 ",3.0,68.0,55.0,"  77,143.39 ",
Applicant 678,Manager,Metro,"  56,830.00 ",1.0,84.0,60.0,"  108,471.68 ",
Applicant 679,Executive,Metro,"  64,221.00 ",1.0,55.0,56.0,"  91,904.17 ",
Applicant 680,Executive,Non-Metro,"  50,761.00 ",2.0,62.0,49.0,"  72,795.44 ",
Applicant 681,Executive,Non-Metro,"  44,663.00 ",1.0,61.0,21.0,"  67,584.07 ",
Applicant 682,Executive,Metro,"  47,451.00 ",1.0,44.0,19.0,"  64,086.37 ",
Applicant 683,Manager,Metro,"  60,917.00 ",3.0,69.0,39.0,"  101,886.28 ",
Applicant 684,Executive,Metro,"  47,576.00 ",4.0,68.0,53.0,"  66,654.11 ",
Applicant 685,Executive,Non-Metro,"  40,632.00 ",2.0,61.0,33.0,"  71,017.54 ",
Applicant 686,Executive,Metro,"  53,942.00 ",1.0,44.0,53.0,"  79,333.46 ",
Applicant 687,Executive,Metro,"  50,105.00 ",4.0,74.0,42.0,"  76,594.04 ",
Applicant 688,Executive,Metro,"  63,562.00 ",3.0,41.0,40.0,"  79,720.02 ",
Applicant 689,Executive,Non-Metro,"  49,275.00 ",3.0,38.0,47.0,"  84,809.17 ",
Applicant 690,Manager,Metro,"  52,857.00 ",2.0,49.0,27.0,"  87,581.33 ",
Applicant 691,Executive,Metro,"  52,889.00 ",2.0,80.0,21.0,"  61,991.12 ",
Applicant 692,Executive,Metro,"  63,893.00 ",3.0,73.0,47.0,"  79,299.74 ",
Applicant 693,Executive,Metro,"  58,001.00 ",1.0,82.0,20.0,"  63,021.18 ",
Applicant 694,Executive,Metro,"  48,539.00 ",2.0,59.0,24.0,"  62,387.28 ",
Applicant 695,Executive,Non-Metro,"  62,261.00 ",4.0,39.0,27.0,"  59,214.25 ",
Applicant 696,Executive,Non-Metro,"  66,242.00 ",2.0,81.0,26.0,"  62,441.32 ",
Applicant 697,Executive,Non-Metro,"  61,262.00 ",2.0,82.0,53.0,"  91,266.27 ",
Applicant 698,Manager,Metro,"  61,930.00 ",1.0,76.0,41.0,"  96,932.92 ",
Applicant 699,Executive,Metro,"  58,204.00 ",2.0,82.0,56.0,"  69,392.13 ",
Applicant 700,Executive,Non-Metro,"  66,907.00 ",3.0,64.0,23.0,"  70,599.91 ",
Applicant 701,Executive,Non-Metro,"  60,810.00 ",4.0,57.0,21.0,"  62,927.79 ",
Applicant 702,Executive,Non-Metro,"  71,549.00 ",4.0,47.0,50.0,"  83,116.21 ",
Applicant 703,Executive,Metro,"  63,687.00 ",3.0,65.0,53.0,"  79,063.48 ",
Applicant 704,Executive,Non-Metro,"  55,575.00 ",2.0,76.0,34.0,"  66,913.22 ",
Applicant 705,Executive,Non-Metro,"  51,340.00 ",3.0,53.0,47.0,"  62,978.36 ",
Applicant 706,Executive,Non-Metro,"  55,989.00 ",1.0,61.0,33.0,"  73,230.00 ",
Applicant 707,Manager,Non-Metro,"  61,656.00 ",3.0,51.0,51.0,"  92,299.77 ",
Applicant 708,Executive,Metro,"  53,303.00 ",2.0,57.0,49.0,"  71,335.91 ",
Applicant 709,Executive,Non-Metro,"  52,308.00 ",4.0,46.0,31.0,"  75,515.45 ",
Applicant 710,Executive,Non-Metro,"  50,961.00 ",2.0,74.0,36.0,"  67,015.80 ",
Applicant 711,Executive,Metro,"  64,693.00 ",4.0,64.0,18.0,"  57,202.89 ",
Applicant 712,Executive,Non-Metro,"  53,444.00 ",3.0,49.0,50.0,"  73,486.99 ",
Applicant 713,Executive,Non-Metro,"  50,977.00 ",2.0,39.0,43.0,"  69,543.95 ",
Applicant 714,Executive,Metro,"  64,679.00 ",3.0,84.0,20.0,"  71,605.72 ",
Applicant 715,Executive,Non-Metro,"  46,192.00 ",1.0,45.0,24.0,"  61,873.12 ",
Applicant 716,Executive,Metro,"  51,157.00 ",1.0,74.0,60.0,"  86,136.48 ",
Applicant 717,Executive,Non-Metro,"  50,975.00 ",1.0,84.0,49.0,"  71,254.94 ",
Applicant 718,Executive,Metro,"  44,522.00 ",4.0,75.0,60.0,"  73,051.32 ",
Applicant 719,Executive,Non-Metro,"  66,466.00 ",4.0,82.0,51.0,"  67,802.33 ",
Applicant 720,Executive,Non-Metro,"  57,809.00 ",4.0,73.0,58.0,"  75,308.28 ",
Applicant 721,Executive,Non-Metro,"  64,865.00 ",3.0,37.0,51.0,"  68,233.58 ",
Applicant 722,Executive,Metro,"  64,419.00 ",3.0,54.0,53.0,"  76,205.05 ",
Applicant 723,Executive,Metro,"  61,665.00 ",4.0,85.0,62.0,"  77,770.17 ",
Applicant 724,Executive,Metro,"  58,401.00 ",4.0,48.0,19.0,"  65,546.96 ",
Applicant 725,Executive,Non-Metro,"  56,452.00 ",3.0,58.0,50.0,"  79,834.42 ",
Applicant 726,Manager,Non-Metro,"  59,079.00 ",4.0,83.0,30.0,"  89,784.95 ",
Applicant 727,Executive,Metro,"  57,178.00 ",1.0,49.0,41.0,"  62,471.09 ",
Applicant 728,Manager,Non-Metro,"  43,154.00 ",1.0,41.0,29.0,"  73,960.70 ",
Applicant 729,Executive,Non-Metro,"  66,113.00 ",4.0,78.0,18.0,"  62,118.85 ",
Applicant 730,Executive,Non-Metro,"  61,367.00 ",4.0,53.0,41.0,"  68,783.96 ",
Applicant 731,Manager,Metro,"  50,269.00 ",3.0,59.0,35.0,"  74,956.52 ",
Applicant 732,Executive,Metro,"  49,579.00 ",3.0,68.0,53.0,"  75,501.92 ",
Applicant 733,Executive,Non-Metro,"  59,535.00 ",1.0,74.0,24.0,"  66,900.02 ",
Applicant 734,Executive,Non-Metro,"  50,357.00 ",2.0,42.0,48.0,"  67,920.60 ",
Applicant 735,Executive,Non-Metro,"  59,413.00 ",1.0,66.0,59.0,"  84,043.43 ",
Applicant 736,Executive,Non-Metro,"  62,127.00 ",4.0,65.0,49.0,"  68,574.13 ",
Applicant 737,Manager,Non-Metro,"  64,762.00 ",1.0,63.0,37.0,"  89,205.84 ",
Applicant 738,Executive,Metro,"  49,361.00 ",3.0,82.0,26.0,"  77,401.56 ",
Applicant 739,Manager,Metro,"  61,256.00 ",2.0,65.0,23.0,"  107,835.84 ",
Applicant 740,Manager,Metro,"  63,258.00 ",2.0,57.0,29.0,"  110,711.65 ",
Applicant 741,Executive,Metro,"  52,271.00 ",3.0,77.0,45.0,"  76,233.83 ",
Applicant 742,Manager,Metro,"  59,081.00 ",3.0,62.0,27.0,"  65,293.58 ",
Applicant 743,Manager,Metro,"  63,947.00 ",4.0,50.0,53.0,"  104,204.57 ",
Applicant 744,Executive,Non-Metro,"  47,765.00 ",3.0,64.0,31.0,"  67,385.21 ",
Applicant 745,Executive,Metro,"  56,001.00 ",3.0,46.0,50.0,"  65,581.33 ",
Applicant 746,Executive,Non-Metro,"  53,097.00 ",4.0,75.0,50.0,"  59,911.02 ",
Applicant 747,Executive,Metro,"  55,213.00 ",2.0,55.0,34.0,"  82,878.09 ",
Applicant 748,Executive,Metro,"  46,248.00 ",4.0,38.0,19.0,"  57,703.78 ",
Applicant 749,Executive,Non-Metro,"  64,931.00 ",4.0,70.0,47.0,"  73,093.09 ",
Applicant 750,Executive,Metro,"  52,432.00 ",2.0,57.0,28.0,"  64,475.07 ",
Applicant 751,Manager,Non-Metro,"  46,681.00 ",1.0,64.0,37.0,"  69,477.90 ",
Applicant 752,Executive,Metro,"  53,992.00 ",3.0,72.0,21.0,"  63,291.77 ",
Applicant 753,Executive,Metro,"  61,431.00 ",4.0,45.0,64.0,"  82,384.89 ",
Applicant 754,Executive,Non-Metro,"  43,343.00 ",4.0,80.0,58.0,"  70,164.12 ",
Applicant 755,Executive,Metro,"  55,168.00 ",3.0,82.0,24.0,"  78,091.05 ",
Applicant 756,Executive,Metro,"  57,128.00 ",4.0,77.0,31.0,"  79,414.18 ",
Applicant 757,Executive,Non-Metro,"  49,004.00 ",2.0,73.0,39.0,"  75,738.92 ",
Applicant 758,Manager,Non-Metro,"  55,294.00 ",3.0,68.0,47.0,"  74,594.62 ",
Applicant 759,Executive,Metro,"  60,466.00 ",2.0,84.0,30.0,"  64,052.01 ",
Applicant 760,Manager,Metro,"  68,023.00 ",3.0,54.0,18.0,"  92,851.94 ",
Applicant 761,Executive,Non-Metro,"  56,831.00 ",2.0,47.0,22.0,"  59,150.62 ",
Applicant 762,Executive,Metro,"  60,909.00 ",3.0,67.0,23.0,"  68,466.49 ",
Applicant 763,Manager,Metro,"  54,744.00 ",4.0,62.0,33.0,"  85,461.75 ",
Applicant 764,Executive,Metro,"  54,660.00 ",3.0,43.0,27.0,"  75,374.60 ",
Applicant 765,Executive,Non-Metro,"  55,085.00 ",1.0,59.0,45.0,"  69,720.35 ",
Applicant 766,Executive,Non-Metro,"  54,021.00 ",3.0,60.0,57.0,"  74,557.88 ",
Applicant 767,Executive,Metro,"  57,988.00 ",3.0,67.0,47.0,"  80,463.20 ",
Applicant 768,Executive,Non-Metro,"  53,563.00 ",2.0,82.0,42.0,"  71,950.15 ",
Applicant 769,Executive,Non-Metro,"  65,041.00 ",3.0,35.0,64.0,"  79,054.09 ",
Applicant 770,Executive,Non-Metro,"  49,106.00 ",4.0,64.0,38.0,"  63,268.59 ",
Applicant 771,Executive,Metro,"  60,296.00 ",2.0,56.0,61.0,"  96,256.60 ",
Applicant 772,Executive,Non-Metro,"  52,516.00 ",2.0,55.0,53.0,"  68,076.23 ",
Applicant 773,Executive,Non-Metro,"  62,913.00 ",4.0,55.0,44.0,"  81,307.63 ",
Applicant 774,Manager,Non-Metro,"  56,259.00 ",2.0,37.0,19.0,"  76,235.42 ",
Applicant 775,Executive,Metro,"  58,635.00 ",2.0,76.0,41.0,"  64,401.61 ",
Applicant 776,Executive,Metro,"  58,393.00 ",2.0,54.0,51.0,"  81,726.80 ",
Applicant 777,Executive,Metro,"  56,343.00 ",3.0,58.0,40.0,"  75,930.73 ",
Applicant 778,Executive,Metro,"  69,103.00 ",3.0,61.0,45.0,"  81,819.78 ",
Applicant 779,Executive,Metro,"  56,302.00 ",2.0,78.0,35.0,"  62,792.65 ",
Applicant 780,Executive,Metro,"  58,682.00 ",4.0,56.0,53.0,"  73,479.74 ",
Applicant 781,Manager,Metro,"  44,755.00 ",4.0,79.0,30.0,"  73,291.90 ",
Applicant 782,Executive,Metro,"  68,087.00 ",2.0,48.0,18.0,"  66,140.38 ",
Applicant 783,Executive,Metro,"  61,111.00 ",3.0,67.0,51.0,"  71,038.65 ",
Applicant 784,Manager,Non-Metro,"  53,210.00 ",1.0,40.0,50.0,"  92,436.86 ",
Applicant 785,Executive,Non-Metro,"  56,411.00 ",2.0,56.0,31.0,"  62,441.06 ",
Applicant 786,Executive,Non-Metro,"  49,618.00 ",3.0,79.0,35.0,"  73,044.66 ",
Applicant 787,Executive,Metro,"  59,442.00 ",2.0,72.0,60.0,"  74,787.18 ",
Applicant 788,Executive,Metro,"  61,362.00 ",2.0,51.0,21.0,"  62,090.11 ",
Applicant 789,Executive,Metro,"  42,655.00 ",2.0,70.0,29.0,"  71,426.63 ",
Applicant 790,Executive,Non-Metro,"  51,003.00 ",4.0,74.0,62.0,"  76,961.06 ",
Applicant 791,Executive,Non-Metro,"  62,984.00 ",1.0,38.0,39.0,"  72,415.05 ",
Applicant 792,Executive,Metro,"  55,600.00 ",4.0,58.0,19.0,"  73,330.78 ",
Applicant 793,Executive,Non-Metro,"  52,226.00 ",2.0,61.0,22.0,"  64,833.39 ",
Applicant 794,Manager,Metro,"  46,979.00 ",1.0,66.0,53.0,"  75,738.72 ",
Applicant 795,Executive,Non-Metro,"  59,752.00 ",3.0,46.0,39.0,"  71,427.16 ",
Applicant 796,Manager,Metro,"  49,839.00 ",1.0,81.0,27.0,"  78,089.72 ",
Applicant 797,Executive,Metro,"  68,797.00 ",2.0,79.0,30.0,"  71,340.34 ",
Applicant 798,Executive,Non-Metro,"  50,705.00 ",3.0,52.0,30.0,"  62,955.46 ",
Applicant 799,Executive,Non-Metro,"  55,987.00 ",4.0,50.0,58.0,"  69,343.89 ",
Applicant 800,Manager,Metro,"  51,256.00 ",4.0,75.0,33.0,"  73,503.98 ",
Applicant 801,Executive,Non-Metro,"  51,639.00 ",1.0,69.0,42.0,"  60,460.07 ",
Applicant 802,Executive,Non-Metro,"  59,523.00 ",2.0,55.0,64.0,"  73,467.46 ",
Applicant 803,Executive,Metro,"  46,380.00 ",1.0,62.0,21.0,"  70,752.08 ",
Applicant 804,Manager,Non-Metro,"  71,123.00 ",4.0,57.0,18.0,"  100,497.31 ",
Applicant 805,Executive,Metro,"  48,611.00 ",4.0,61.0,23.0,"  70,232.90 ",
Applicant 806,Executive,Non-Metro,"  57,328.00 ",4.0,65.0,45.0,"  60,284.58 ",
Applicant 807,Executive,Non-Metro,"  63,521.00 ",4.0,82.0,40.0,"  82,780.39 ",
Applicant 808,Executive,Non-Metro,"  57,604.00 ",3.0,82.0,19.0,"  65,275.62 ",
Applicant 809,Executive,Metro,"  59,305.00 ",4.0,78.0,18.0,"  74,275.10 ",
Applicant 810,Executive,Metro,"  47,312.00 ",4.0,75.0,25.0,"  71,026.40 ",
Applicant 811,Executive,Non-Metro,"  54,513.00 ",3.0,82.0,46.0,"  80,991.21 ",
Applicant 812,Executive,Non-Metro,"  63,523.00 ",3.0,45.0,33.0,"  58,048.12 ",
Applicant 813,Executive,Metro,"  48,852.00 ",1.0,76.0,54.0,"  68,903.48 ",
Applicant 814,Executive,Metro,"  44,096.00 ",3.0,60.0,28.0,"  79,412.82 ",
Applicant 815,Executive,Metro,"  58,892.00 ",2.0,79.0,36.0,"  65,165.86 ",
Applicant 816,Executive,Non-Metro,"  54,118.00 ",2.0,50.0,20.0,"  56,178.11 ",
Applicant 817,Executive,Non-Metro,"  44,960.00 ",4.0,42.0,24.0,"  61,624.90 ",
Applicant 818,Executive,Metro,"  58,422.00 ",2.0,54.0,23.0,"  75,585.98 ",
Applicant 819,Manager,Non-Metro,"  49,329.00 ",4.0,46.0,47.0,"  85,420.69 ",
Applicant 820,Manager,Non-Metro,"  59,455.00 ",4.0,43.0,33.0,"  112,797.03 ",
Applicant 821,Executive,Metro,"  62,637.00 ",2.0,65.0,45.0,"  69,816.63 ",
Applicant 822,Executive,Metro,"  45,637.00 ",4.0,37.0,26.0,"  70,626.09 ",
Applicant 823,Executive,Non-Metro,"  59,481.00 ",4.0,77.0,18.0,"  64,189.89 ",
Applicant 824,Executive,Non-Metro,"  57,100.00 ",2.0,54.0,44.0,"  65,875.31 ",
Applicant 825,Executive,Metro,"  49,702.00 ",2.0,85.0,60.0,"  76,284.19 ",
Applicant 826,Executive,Non-Metro,"  54,415.00 ",3.0,75.0,64.0,"  73,791.08 ",
Applicant 827,Manager,Metro,"  52,110.00 ",1.0,67.0,56.0,"  98,530.39 ",
Applicant 828,Manager,Metro,"  49,570.00 ",4.0,72.0,36.0,"  83,977.24 ",
Applicant 829,Manager,Metro,"  60,301.00 ",3.0,66.0,41.0,"  100,861.51 ",
Applicant 830,Executive,Metro,"  43,612.00 ",3.0,48.0,39.0,"  71,010.86 ",
Applicant 831,Executive,Metro,"  59,933.00 ",3.0,77.0,63.0,"  80,641.20 ",
Applicant 832,Executive,Non-Metro,"  53,563.00 ",3.0,69.0,36.0,"  55,882.26 ",
Applicant 833,Executive,Non-Metro,"  50,705.00 ",3.0,74.0,28.0,"  55,436.85 ",
Applicant 834,Executive,Metro,"  56,493.00 ",1.0,73.0,58.0,"  74,613.30 ",
Applicant 835,Executive,Metro,"  61,040.00 ",3.0,54.0,36.0,"  78,423.94 ",
Applicant 836,Executive,Metro,"  58,049.00 ",2.0,51.0,42.0,"  65,084.43 ",
Applicant 837,Executive,Metro,"  54,506.00 ",2.0,65.0,36.0,"  68,699.58 ",
Applicant 838,Executive,Non-Metro,"  55,502.00 ",1.0,47.0,56.0,"  81,558.03 ",
Applicant 839,Executive,Non-Metro,"  43,496.00 ",1.0,57.0,35.0,"  59,786.34 ",
Applicant 840,Executive,Non-Metro,"  55,109.00 ",2.0,68.0,59.0,"  62,624.16 ",
Applicant 841,Executive,Metro,"  52,417.00 ",3.0,73.0,21.0,"  72,336.45 ",
Applicant 842,Executive,Metro,"  48,990.00 ",4.0,83.0,59.0,"  79,310.37 ",
Applicant 843,Manager,Non-Metro,"  62,458.00 ",2.0,66.0,23.0,"  84,342.95 ",
